group	name	parent	label	depth	title	meaning	ALL	
seafood	SeafoodOrganMenu	{organism} organ	{organism} brain	1	. . {organism} brain	FOODON:02010043		
seafood	SeafoodOrganMenu	{organism} brain	{organism} brain (raw)	2	. . . . {organism} brain (raw)	FOODON:02010060		
seafood	SeafoodOrganMenu	{organism} organ	{organism} kidney	1	. . {organism} kidney	FOODON:02010044		
seafood	SeafoodOrganMenu	{organism} kidney	{organism} kidney (raw)	2	. . . . {organism} kidney (raw)	FOODON:02010061		
seafood	SeafoodOrganMenu	{organism} organ	{organism} liver	1	. . {organism} liver	FOODON:02010045		
seafood	SeafoodOrganMenu	{organism} liver	{organism} liver (raw)	2	. . . . {organism} liver (raw)	FOODON:02010062		
seafood	SeafoodOrganMenu	{organism} roe	{organism} roe (fish)	1	. . {organism} roe (fish)	FOODON:02010003		
seafood	SeafoodOrganMenu	{organism} roe	{organism} roe (crustacean)	1	. . {organism} roe (crustacean)	FOODON:02010337		
seafood	SeafoodOrganMenu	{organism} roe	{organism} roe (raw)	1	. . . . {organism} roe (raw)	FOODON:02020000		
seafood	SeafoodOrganMenu	{organism} organ	{organism} eye	1	. . {organism} eye	FOODON:02010324		
seafood	SeafoodOrganMenu	{organism} eye	{organism} eye (raw)	2	. . . . {organism} eye (raw)	FOODON:02010327		
seafood	SeafoodOrganMenu	{organism} organ	{organism} tentacle	1	. . {organism} tentacle	FOODON:02010336		
seafood	SeafoodOrganMenu	{organism} tentacle	{organism} tentacle (raw)	2	. . . . {organism} tentacle (raw)	FOODON:02010335		
seafood	SeafoodOrganMenu	piece of {organism} 	piece of {organism} organ	0	piece of {organism} organ	FOODON:02010074		
seafood	SeafoodOrganMenu	piece of {organism} organ	piece of {organism} organ (raw)	1	. . piece of {organism} organ (raw)	FOODON:02010090		
seafood	SeafoodOrganMenu	piece of {organism} organ	piece of {organism} skin	1	. . piece of {organism} skin	FOODON:02010075		
seafood	SeafoodOrganMenu	piece of {organism} skin	piece of {organism} skin (raw)	2	. . . . piece of {organism} skin (raw)	FOODON:02010091		
								
								
	name	parent	label	depth	title	meaning	ALL	
animal	GeneralAnimalMenu	animal material	{organism_base} material	0	{organism_base} material	FOODON:03420164	TRUE	
animal	GeneralAnimalMenu	animal food product	{organism} food product	0	{organism} food product	FOODON:00004242		
animal	GeneralAnimalMenu	animal material	{organism_base}	0	{organism_base}	FOODON:00003004	TRUE	
animal	GeneralAnimalMenu	animal material	{organism_base} (no species taxon)	0	{organism_base} (no species taxon)	FOODON:00003004	TRUE	
animal	GeneralAnimalMenu	{organism} 	live {organism}	0	live {organism}	FOODON:02010019	TRUE	
animal	GeneralAnimalMenu	{organism_base}	{organism_base} carcass	1	. . {organism_base} carcass	FOODON:02010020	TRUE	
animal	GeneralAnimalMenu	{organism_base} carcass	{organism_base} carcass (raw)	2	. . . . {organism_base} carcass (raw)	FOODON:02010021		
animal	GeneralAnimalMenu	{organism_base} material	piece of {organism_base}	0	piece of {organism_base}	FOODON:00004332	TRUE	
animal	GeneralAnimalMenu	piece of {organism_base}	piece of {organism_base} (raw)	1	. . piece of {organism_base} (raw)	FOODON:02010027		
animal	GeneralAnimalMenu	piece of {organism_base}	piece of {organism} (with skin)	1	. . piece of {organism} (with skin)	FOODON:02010028		
animal	GeneralAnimalMenu	piece of {organism} (with skin)	piece of {organism} (with skin, raw)	2	. . . . piece of {organism} (with skin, raw)	FOODON:02010030		
animal	GeneralAnimalMenu	piece of {organism_base}	piece of {organism} (skinless)	1	. . piece of {organism} (skinless)	FOODON:02010029		
animal	GeneralAnimalMenu	piece of {organism} (skinless)	piece of {organism} (skinless, raw)	2	. . . . piece of {organism} (skinless, raw)	FOODON:02010031		
animal	GeneralAnimalMenu	piece of {organism_base}	{organism_base} processed carcass	0	{organism_base} processed carcass	FOODON:02010022		
animal	GeneralAnimalMenu	{organism_base} processed carcass	{organism_base} processed carcass (raw)	1	. . {organism_base} processed carcass (raw)	FOODON:02010023		
animal	GeneralAnimalMenu	{organism_base} processed carcass (raw)	{organism_base} carcass (raw, skinless)	2	. . . . {organism_base} carcass (raw, skinless)	FOODON:02010024		
animal	GeneralAnimalMenu	{organism_base} processed carcass	{organism_base} carcass (butchered)	1	. . {organism_base} carcass (butchered)	FOODON:02010025		
animal	GeneralAnimalMenu	{organism_base} carcass (butchered)	{organism_base} carcass (butchered, raw)	2	. . . . {organism_base} carcass (butchered, raw)	FOODON:02010321		
animal	GeneralAnimalMenu	{organism_base} processed carcass	{organism_base} carcass (gutted)	1	. . {organism_base} carcass (gutted)	FOODON:02010026		
animal	GeneralAnimalMenu	{organism_base} carcass (gutted)	{organism_base} carcass (gutted, raw)	2	. . . . {organism_base} carcass (gutted, raw)	FOODON:02010322		
animal	GeneralAnimalMenu	{organism_base} processed carcass	{organism_base} carcass (with giblets)	1	. . {organism_base} carcass (with giblets)	FOODON:02020003		
animal	GeneralAnimalMenu	{organism_base} processed carcass	{organism_base} carcass (with giblets, raw)	1	. . {organism_base} carcass (with giblets, raw)	FOODON:02020004		
animal	GeneralAnimalMenu	{organism_base} processed carcass	{organism_base} carcass (with giblets and neck)	1	. . {organism_base} carcass (with giblets and neck)	FOODON:02020005		
animal	GeneralAnimalMenu	{organism_base} processed carcass	{organism_base} carcass (with giblets and neck, raw)	1	. . {organism_base} carcass (with giblets and neck, raw)	FOODON:02020006		
animal	GeneralAnimalMenu	{organism_base}	{organism_base} (shell on)	1	. . {organism_base} (shell on)	FOODON:02022094		DESTINED FOR SEAFOOD
animal	GeneralAnimalMenu	{organism_base} (shell on)	{organism_base} (shell on, raw)	2	. . . . {organism_base} (shell on, raw)	FOODON:02022095		DESTINED FOR SEAFOOD
animal	GeneralAnimalMenu	piece of {organism_base}	{organism_base} (shell off)	1	. . {organism_base} (shell off)	FOODON:02010325		DESTINED FOR SEAFOOD
animal	GeneralAnimalMenu	{organism_base} (shell off)	{organism_base} (shell off, raw)	2	. . . . {organism_base} (shell off, raw)	FOODON:02010326		DESTINED FOR SEAFOOD
animal	GeneralAnimalMenu	embryonic structure	{organism} egg	0	{organism} egg	FOODON:02010002		
animal	GeneralAnimalMenu	{organism} egg	{organism} egg (raw)	1	. . {organism} egg (raw)	FOODON:02010004		
animal	GeneralAnimalMenu	animal egg (shell on)|{organism} egg	{organism} egg (shell on)	1	. . {organism} egg (shell on)	FOODON:02010005		
animal	GeneralAnimalMenu	{organism} egg (shell on)	{organism} egg (shell on, raw)	2	. . . . {organism} egg (shell on, raw)	FOODON:02010006		
animal	GeneralAnimalMenu	animal egg	{organism} roe	1	. . {organism} roe	FOODON:02010003		DESTINED FOR SEAFOOD
animal	GeneralAnimalMenu	{organism} roe	{organism} roe (raw)	2	. . . . {organism} roe (raw)	FOODON:02020000		DESTINED FOR SEAFOOD
animal	GeneralAnimalMenu	{organism_base} material|organism substance	{organism_base} substance	0	{organism_base} substance	FOODON:02010001		
animal	GeneralAnimalMenu	{organism} substance	{organism} egg white	1	. . {organism} egg white	FOODON:02020001		
animal	GeneralAnimalMenu	{organism} egg white	{organism} egg white (raw)	2	. . . . {organism} egg white (raw)	FOODON:02020002		
animal	GeneralAnimalMenu	{organism} substance	{organism} egg yolk	1	. . {organism} egg yolk	FOODON:02010009		
animal	GeneralAnimalMenu	{organism} egg yolk	{organism} egg yolk (raw)	2	. . . . {organism} egg yolk (raw)	FOODON:02010010		
animal	GeneralAnimalMenu	{organism} substance	{organism} eggshell	1	. . {organism} eggshell	FOODON:02010011		
animal	GeneralAnimalMenu	{organism_base} substance	{organism} milk	1	. . {organism} milk	FOODON:02010012		
animal	GeneralAnimalMenu	{organism} milk	{organism} milk (raw)	2	. . . . {organism} milk (raw)	FOODON:02010013		
animal	GeneralAnimalMenu	{organism_base} substance	{organism} blood	1	. . {organism} blood	FOODON:02010014		
animal	GeneralAnimalMenu	{organism} blood	{organism} blood (raw)	2	. . . . {organism} blood (raw)	FOODON:02010015		
								
animal	AnimalAnatomyMenu	piece of {organism} meat	{organism} thigh	0	{organism} thigh	FOODON:02010123		
animal	AnimalAnatomyMenu	{organism} thigh	{organism} thigh (raw)	1	. . {organism} thigh (raw)	FOODON:02010138		
animal	AnimalAnatomyMenu	{organism} thigh	{organism} thigh (skinless)	1	. . {organism} thigh (skinless)	FOODON:02010153		
animal	AnimalAnatomyMenu	{organism} thigh (skinless)	{organism} thigh (skinless, raw)	2	. . . . {organism} thigh (skinless, raw)	FOODON:02020011		
animal	AnimalAnatomyMenu	{organism} thigh (skinless)	{organism} thigh (skinless, with bone)	2	. . . . {organism} thigh (skinless, with bone)	FOODON:02010154		
animal	AnimalAnatomyMenu	{organism} thigh (skinless)	{organism} thigh (skinless, boneless)	2	. . . . {organism} thigh (skinless, boneless)	FOODON:02020012		
animal	AnimalAnatomyMenu	{organism} thigh (skinless, boneless)	{organism} thigh (skinless, boneless, raw)	3	. . . . . . {organism} thigh (skinless, boneless, raw)	FOODON:02020013		
animal	AnimalAnatomyMenu	{organism} thigh	{organism} thigh (with skin)	1	. . {organism} thigh (with skin)	FOODON:02010155		
animal	AnimalAnatomyMenu	{organism} thigh (with skin)	{organism} thigh (with skin, raw)	2	. . . . {organism} thigh (with skin, raw)	FOODON:02020014		
animal	AnimalAnatomyMenu	{organism} thigh (with skin)	{organism} thigh (with skin, with bone)	2	. . . . {organism} thigh (with skin, with bone)	FOODON:02010156		
animal	AnimalAnatomyMenu	piece of {organism} meat	{organism} breast	0	{organism} breast	FOODON:02010124		
animal	AnimalAnatomyMenu	{organism} breast	{organism} breast (raw)	1	. . {organism} breast (raw)	FOODON:02010139		
animal	AnimalAnatomyMenu	{organism} breast	{organism} breast (skinless)	1	. . {organism} breast (skinless)	FOODON:02020015		
animal	AnimalAnatomyMenu	{organism} breast (skinless)	{organism} breast (skinless, raw)	2	. . . . {organism} breast (skinless, raw)	FOODON:02020016		
animal	AnimalAnatomyMenu	{organism} breast	{organism} breast (with skin)	1	. . {organism} breast (with skin)	FOODON:02020017		
animal	AnimalAnatomyMenu	{organism} breast (with skin)	{organism} breast (with skin, raw)	2	. . . . {organism} breast (with skin, raw)	FOODON:02020018		
animal	AnimalAnatomyMenu	{organism} breast (skinless)	{organism} breast (skinless, boneless)	2	. . . . {organism} breast (skinless, boneless)	FOODON:02020019		
animal	AnimalAnatomyMenu	{organism} breast (skinless, boneless)	{organism} breast (skinless, boneless, raw)	3	. . . . . . {organism} breast (skinless, boneless, raw)	FOODON:02020020		
animal	AnimalAnatomyMenu	{organism} breast 	{organism} breast (bone-in)	1	. . {organism} breast (bone-in)	FOODON:02022209		
animal	AnimalAnatomyMenu	{organism} breast (bone-in)	{organism} breast (bone-in, raw)	2	. . . . {organism} breast (bone-in, raw)	FOODON:02022210		
animal	AnimalAnatomyMenu	piece of {organism} meat	{organism} drumstick	0	{organism} drumstick	FOODON:02010125		
animal	AnimalAnatomyMenu	{organism} drumstick	{organism} drumstick (raw)	1	. . {organism} drumstick (raw)	FOODON:02010140		
animal	AnimalAnatomyMenu	{organism} drumstick	{organism} drumstick (skinless)	1	. . {organism} drumstick (skinless)	FOODON:02020021		
animal	AnimalAnatomyMenu	{organism} drumstick (skinless)	{organism} drumstick (skinless, raw)	2	. . . . {organism} drumstick (skinless, raw)	FOODON:02020022		
animal	AnimalAnatomyMenu	{organism} drumstick	{organism} drumstick (with skin)	1	. . {organism} drumstick (with skin)	FOODON:02020023		
animal	AnimalAnatomyMenu	{organism} drumstick (with skin)	{organism} drumstick (with skin, raw)	2	. . . . {organism} drumstick (with skin, raw)	FOODON:02020024		
animal	AnimalAnatomyMenu	piece of {organism} meat	{organism} wing	0	{organism} wing	FOODON:02010126		
animal	AnimalAnatomyMenu	{organism} wing	{organism} wing (raw)	1	. . {organism} wing (raw)	FOODON:02010141		
animal	AnimalAnatomyMenu	{organism} wing	{organism} wing (skinless)	1	. . {organism} wing (skinless)	FOODON:02020025		
animal	AnimalAnatomyMenu	{organism} wing (skinless)	{organism} wing (skinless, raw)	2	. . . . {organism} wing (skinless, raw)	FOODON:02020026		
animal	AnimalAnatomyMenu	{organism} wing	{organism} wing (with skin)	1	. . {organism} wing (with skin)	FOODON:02020027		
animal	AnimalAnatomyMenu	{organism} wing (with skin)	{organism} wing (with skin, raw)	2	. . . . {organism} wing (with skin, raw)	FOODON:02020028		
animal	AnimalAnatomyMenu	piece of {organism} meat	{organism} leg	0	{organism} leg	FOODON:02010130		
animal	AnimalAnatomyMenu	{organism} leg	{organism} leg (raw)	1	. . {organism} leg (raw)	FOODON:02010145		
animal	AnimalAnatomyMenu	{organism} leg	{organism} leg (skinless)	1	. . {organism} leg (skinless)	FOODON:02020029		
animal	AnimalAnatomyMenu	{organism} leg (skinless)	{organism} leg (skinless, raw)	2	. . . . {organism} leg (skinless, raw)	FOODON:02020030		
animal	AnimalAnatomyMenu	{organism} leg	{organism} leg (with skin)	1	. . {organism} leg (with skin)	FOODON:02020031		
animal	AnimalAnatomyMenu	{organism} leg (with skin)	{organism} leg (with skin, raw)	2	. . . . {organism} leg (with skin, raw)	FOODON:02020032		
animal	AnimalAnatomyMenu	piece of {organism} meat	{organism} neck	0	{organism} neck	FOODON:02010128		
animal	AnimalAnatomyMenu	{organism} neck	{organism} neck (raw)	1	. . {organism} neck (raw)	FOODON:02010143		
animal	AnimalAnatomyMenu	piece of {organism} meat	{organism} back	0	{organism} back	FOODON:02010129		
animal	AnimalAnatomyMenu	{organism} back	{organism} back (raw)	1	. . {organism} back (raw)	FOODON:02010144		
