DISABLED	ID	parent class	label	Equivalence axiom	Equivalence Override	Subclass axiom	definition	comment	Exact Synonym	Broad Synonym	Minimum	Aves	Bovidae	Suina	Ursidae	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian	Chelicerata	Crustacea	Hexapoda	Other	Fish
	FOODON:02010020	{organism_base}	{organism_base} carcass	'animal carcass' and 'in taxon' some {taxon}	'carcass' and 'in taxon' some 'Metazoa'		A carcass of a{n} {organism_base} that includes all anatomical parts.	This is an Uberon 'carcass' that  'has quality' some 'dead	dead {organism_base}		TRUE	ALL	cow|veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar	ALL	ALL	ALL	ALL	ALL		ALL		ALL		ALL	ALL	ALL	ALL					octopus|common octopus	whelk	green sea turtle|turtle|sea turtle		frog		crab|lobster|shrimp|blue swimmer crab|blue crab	ALL	elephant	ALL
	FOODON:02010021	{organism_base} carcass	{organism_base} carcass (raw)	'{organism_base} carcass' and 'has quality' some 'raw'			A raw {organism_base} carcass.		raw {organism_base} carcass			ALL	cow|veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar	ALL	ALL			ALL		ALL		ALL		ALL	ALL	ALL	ALL					octopus|common octopus	whelk	green sea turtle|turtle|sea turtle		frog		crab|lobster|shrimp|blue swimmer crab|blue crab	ALL	elephant	ALL
	FOODON:00004332	{organism_base} material	piece of {organism_base}	'organism piece' and 'in taxon' some {taxon}			A severed part of a{n} {organism}.				TRUE	ALL	beef|veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar	ALL	ALL	ALL	ALL	ALL		ALL		ALL		ALL	ALL	ALL	ALL				scallop|mussel|cockle|eastern oyster	octopus|common octopus	whelk	green sea turtle|turtle|sea turtle		frog		crab|lobster|shrimp|blue swimmer crab|blue crab		elephant	ALL
	FOODON:02010027	piece of {organism_base}	piece of {organism_base} (raw)	'piece of {organism_base}' and 'has quality' some 'raw'			A raw piece of {organism}.					ALL	beef|veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar	ALL	ALL	ALL	ALL			ALL				ALL	ALL	ALL					scallop|mussel|cockle|eastern oyster		whelk	green sea turtle|turtle|sea turtle							monkfish|white sucker|pumpkinseed sunfish|swordfish|tilefish
	FOODON:02010107	piece of {organism_base}	piece of {organism} meat	'piece of {organism_base}' and 'has part' some ('derives from' some 'animal muscle tissue cut')			A piece of meat that is derived from a{n} {organism}.			{organism} meat	TRUE	ALL	veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar	ALL	ALL		ALL	ALL				ALL		ALL	ALL	ALL	ALL					octopus|common octopus	whelk	green sea turtle|turtle|sea turtle		frog		crab|lobster|shrimp|blue swimmer crab		elephant	ALL
	FOODON:02010108	piece of {organism} meat	piece of {organism} meat (raw)	'piece of {organism} meat' and 'has quality' some 'raw'			A raw piece of {organism} meat.			raw {organism} meat		ALL	veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar	ALL	ALL		ALL	ALL				ALL		ALL	ALL	ALL	ALL					octopus|common octopus		green sea turtle|turtle		frog		crab|lobster|shrimp|blue swimmer crab		elephant	ALL
	FOODON:00004436	piece of {organism_base}	{organism} organ	'animal organ' and 'in taxon' some {taxon}	'piece of animal' and 'derives from' some 'organ'		An organ that derives from a{n} {organism}.					chicken|turkey|duck|goose|ruffed grouse	beef|veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar		reindeer|moose		giraffe					steller sea lion|walrus					rabbit														
	FOODON:03530146	piece of {organism_base}	butchery cut of {organism}				A piece of {organism} meat which has been cut according to butchery practice.					chicken|turkey	lamb|veal|beefalo|bison|buffalo	pork		elk|reindeer|deer												rabbit														ALL
	FOODON:02010306	butchery cut of {organism}	butchery cut of {organism} (raw)				A raw cut of {organism} meat.						lamb|veal|beefalo|bison|buffalo	pork		reindeer|deer|elk												rabbit														
	FOODON:00004335	{organism_base} material	piece(s) of {organism_base}	'object aggregate' and 'has member' some 'piece of {organism_base}'			One or more pieces of {organism}s.				TRUE	ALL	cow|veal|lamb|antelope|domestic yak|goat|buffalo|sheep|beefalo|bison|gazelle|water buffalo	pork|wild boar	ALL	ALL		ALL	ALL				ALL		ALL	ALL	ALL	ALL				scallop	octopus|common octopus		green sea turtle|turtle|sea turtle		frog		crab|lobster|blue crab|shrimp		elephant	cuttlefish
