Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	taxon	definition	definition source	Last Updated	Curation notes	created	contributor	Exact Synonym	Broad Synonym	French syn.	see also	hasDbXref	curation status	comment	image	term requested	EFSA Code	
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|		AL IAO:0000115@en	A IAO:0000119 SPLIT=|			AT dcterms:date^^xsd:dateTime	A dcterms:contributor SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	A rdfs:seeAlso SPLIT=|		AI IAO:0000114	AL rdfs:comment@en	AI schema:image			
FOODON:00003573	inflorescence	artichoke head	'inflorescence' and 'in taxon' some 'Cynara cardunculus var. scolymus'		Cynara cardunculus var. scolymus	An inflorescence of an artichoke plant (Cynara cardunculus var. scolymus).				2020-10-19T04:14:01	https://orcid.org/0000-0001-5275-8866	french artichoke|green artichoke|globe artichoke										
FOODON:03301369	artichoke head	artichoke head (raw)				A whole raw artichoke head.	https://en.wikipedia.org/wiki/Artichoke			2022-03-14T13:36:13Z	https://orcid.org/0000-0001-5275-8866											
FOODON:00003502	pericarp|star anise food product	star anise	'pericarp' and 'in taxon' some 'Illicium verum'		Illicium verum	A pericarp from the Star Anise (Illicium verum) tree.						Chinese star anise|taranise										
FOODON:00002889	common bean	black turtle bean				A  small, shiny variety of a common bean plant (Phaseolus vulgaris).	https://en.wikipedia.org/wiki/Black_turtle_bean			2020-10-19T04:14:01	https://orcid.org/0000-0001-5275-8866	black bean										
FOODON:03302067	common bean	cranberry bean				A seed of a cranberry bean plant which is a varietal of a common bean plant (Phaseolus vulgaris)				2020-10-19T04:14:01	https://orcid.org/0000-0001-5275-8866	borlotti bean										
FOODON:00002685	common bean	navy bean				A white colored seed of a navy bean plant which is a varietal of a common bean plant (Phaseolus vulgaris)				2019-06-27T08:18:42	https://orcid.org/0000-0001-5275-8866	haricot|pearl haricot bean|boston bean|white pea bean|pea bean										
FOODON:03310060	common bean	pink bean				A small, pale pink, oval-shaped seed of a pink bean plant which is a varietal of a common bean plant (Phaseolus vulgaris).				2020-10-19T04:14:01	https://orcid.org/0000-0001-5275-8866											
FOODON:00002765	bean sprout	bean pod	'legume fruit' and 'in taxon' some 'Phaseolus vulgaris'		Phaseolus vulgaris																	
FOODON:03315361	bean	adzuki bean	'seed' and 'in taxon' some 'Vigna angularis'		Vigna angularis	A seed of a adzuki bean plant (Vigna angularis)				2020-10-19T04:14:01	https://orcid.org/0000-0001-5275-8866	aduki bean|red mung bean										
FOODON:03305806	edible bean pod|green bean food product	green bean pod				An unripe, young fruit of various cultivars of a common bean plant (Phaseolus vulgaris).	https://en.wikipedia.org/wiki/Green_bean	2022-04-11T12:45:24Z			https://orcid.org/0000-0001-5275-8866	snap bean|string bean|stringless bean										
FOODON:00004236	green bean pod	green bean pod (raw)				A whole raw green bean pod.	https://en.wikipedia.org/wiki/Green_bean			2022-04-11T13:24:36Z	https://orcid.org/0000-0001-5275-8866	green bean										
FOODON:00003577	muskmelon	cantaloupe	'pepo fruit' and 'in taxon' some 'Cucumis melo var. cantalupo'		Cucumis melo var. cantalupo	A pepo fruit of a cantaloupe plant (Cucumis melo var. cantalupo).				2020-11-27T07:15:01	https://orcid.org/0000-0001-5275-8866									Genome Tracker		
FOODON:00003578	berry fruit	fuzzy kiwifruit	'berry fruit' and 'in taxon' some 'Actinidia deliciosa'		Actinidia deliciosa	A berry fruit of a kiwifruit plant (Actinidia deliciosa).	https://en.wikipedia.org/wiki/Kiwifruit			2020-11-30T13:14:34	https://orcid.org/0000-0001-5275-8866	Chinese gooseberry	kiwifruit|kiwi									
FOODON:00003579	orange	navel orange				A hesperidium fruit of a navel orange plant (Citrus sinensis)				2020-11-30T13:15:00	https://orcid.org/0000-0001-5275-8866											
FOODON:00003576	pear	common pear	'pome fruit' and 'in taxon' some 'Pyrus communis'		Pyrus communis	A pome fruit of a common pear plant (Pyrus communis)	https://en.wikipedia.org/wiki/Pyrus_communis			2020-12-16T21:03:04Z	https://orcid.org/0000-0002-8844-9165	european pear										
FOODON:00003575	common pear	Williams pear	'pome fruit' and 'in taxon' some 'Williams bon chrétien pear plant'			A pome fruit of a williams bon chrétien pear plant, cultivar of a common pear.	https://en.wikipedia.org/wiki/Williams_pear			2020-11-30T13:17:20	https://orcid.org/0000-0001-5275-8866	Williams' Bon Chrétien pear|Bartlett pear										
FOODON:00003580	tomato	grape tomato				A berry fruit of a grape tomato plant.	https://en.wikipedia.org/wiki/Grape_tomato			2020-12-16T22:16:44		grape tomato|plum grape tomato								Genome Tracker		
FOODON:00003523	drupe fruit	almond	'drupe fruit' and 'in taxon' some 'Prunus dulcis'		Prunus dulcis	A drupe fruit of an almond plant (Prunus dulcis).	https://en.wikipedia.org/wiki/Almond	2022-04-13 19:34:05		2020-11-28T11:27:21	https://orcid.org/0000-0001-5275-8866											
FOODON:00003581	seed	sunflower seed (whole kernel)	'seed' and 'in taxon' some 'Helianthus annuus'		Helianthus annuus	A seed of a sunflower plant (Helianthus annuus)	https://en.wikipedia.org/wiki/Sunflower_seed			2020-11-30T04:49:32		sunflower seed										
FOODON:00003582	bulb	garlic bulb	'bulb' and 'in taxon' some 'Allium sativum'		Allium sativum	A bulb of a garlic plant (Allium sativum)	https://en.wikipedia.org/wiki/Garlic			2020-11-30T04:49:32		garlic										
FOODON:00003583	clove	garlic clove	'clove' and 'in taxon' some 'Allium sativum'		Allium sativum	A clove of a garlic bulb, including the husk.	https://en.wikipedia.org/wiki/Garlic			2020-12-16T22:42:26												
FOODON:00003584	scape	garlic scape	'stem' and 'in taxon' some 'Allium sativum'		Allium sativum	An immature flower stalk of a garlic plant.	https://en.wikipedia.org/wiki/Garlic			2020-12-16T22:45:47		garlic spear|garlic stem|garlic top										
FOODON:00003585	drupe fruit	nectarine	'drupe fruit' and 'in taxon' some 'Prunus persica var. nucipersica'		Prunus persica var. nucipersica	A drupe fruit of a nectarine tree (Prunus persica var. nectarina).				2020-11-30T13:12:43												
FOODON:00003586	red kidney bean	light red kidney bean		'has quality' some 'light red'		A seed of a lighter varietal of a red kidney bean plant.				2020-12-16T22:57:39												
FOODON:00003587	red kidney bean	dark red kidney bean		'has quality' some 'dark red'		A seed of a darker varietal of a red kidney bean plant.				2020-12-16T22:58:09												
FOODON:00003479	drupelet berry	loganberry	'aggregate fruit' and 'in taxon' some 'Rubus x loganobaccus'		Rubus x loganobaccus	A drupelet fruit of a loganberry plant (Rubus x loganobaccus).	https://en.wikipedia.org/wiki/Loganberry			2020-10-13T05:48:32	https://orcid.org/0000-0001-5275-8866						IAO:0000122					
FOODON:00003480	drupelet berry	cloudberry	'aggregate fruit' and 'in taxon' some 'Rubus chamaemorus'		Rubus chamaemorus	A drupelet fruit of a cloudberry plant (Rubus chamaemorus).	https://en.wikipedia.org/wiki/Rubus_chamaemorus			2020-10-13T05:48:32	https://orcid.org/0000-0001-5275-8866	nordic berry|bakeapple|knotberry|knoutberry|aqpik|low-bush salmonberry|averin|evron					IAO:0000122					
FOODON:00003487	drupelet berry	blackberry		'in taxon' some Rubus		A drupelet fruit of a blackberry plant.	https://en.wikipedia.org/wiki/Blackberry			2020-10-14T01:29:01	https://orcid.org/0000-0001-5275-8866											
FOODON:00003490	drupelet berry	black raspberry	'aggregate fruit' and 'in taxon' some 'Rubus occidentalis'		Rubus occidentalis	A drupelet fruit of a black raspberry plant (Rubus occidentalis).	https://en.wikipedia.org/wiki/Rubus_occidentalis			2020-10-14T11:49:23	https://orcid.org/0000-0001-5275-8866	wild black raspberry|bear's eye blackberry|black caps|black cap raspberry|scotch cap.										
FOODON:00003556	drupelet berry	boysenberry	'aggregate fruit' and 'in taxon' some 'boysenberry plant'			A drupelet fruit of a boysenberry plant (R. ursinus × R. idaeus).	https://en.wikipedia.org/wiki/Boysenberry			2020-10-23T12:22:11	https://orcid.org/0000-0001-5275-8866											
FOODON:00003557	drupelet berry	dewberry		'in taxon' some Rubus		A drupelet fruit of a dewberry plant.	https://en.wikipedia.org/wiki/Dewberry			2020-10-23T12:36:15	https://orcid.org/0000-0001-5275-8866											
FOODON:00003566	drupelet berry	youngberry	'aggregate fruit' and 'in taxon' some 'youngberry plant'			A drupelet fruit of a youngberry plant which is a hybrid between three different species; the raspberries, blackberries, and dewberries from the genus Rubus.	https://en.wikipedia.org/wiki/Youngberry			2020-10-23T01:57:23	https://orcid.org/0000-0001-5275-8866											
FOODON:00003588	common pear	Bosc pear	'pome fruit' and 'in taxon' some 'Bosc pear plant'			A pome fruit of a bosc pear plant, cultivar of a common pear.				2020-12-16T23:00:01												
FOODON:00003593	drupe fruit	acerola	'drupe fruit' and 'in taxon' some 'Malpighia emarginata'		Malpighia emarginata	A drupe fruit of an acerola plant.(Malpighia emarginata)				2020-12-17T03:31:37												
FOODON:00003591	nut fruit	acorn	'seed' and 'in taxon' some 'Quercus'		Quercus	A nut fruit from an oak tree (Quercus).	https://en.wikipedia.org/wiki/Acorn			2020-12-17T02:58:08												
FOODON:00003599	winter squash	acorn squash	'pepo fruit' and 'in taxon' some 'Cucurbita pepo var. ovifera'		Cucurbita pepo var. ovifera	A pepo fruit of an acorn squash plant (Cucurbita pepo var. ovifera).	https://en.wikipedia.org/wiki/Acorn_squash			2021-02-10T22:41:25		pepper squash|summer crookneck squash|ornamental gourd										
FOODON:00004442	acorn squash	green acorn squash				A whole acorn squash which has a green skin.	https://en.wikipedia.org/wiki/Acorn_squash			2023-06-20T21:50:47Z												
FOODON:00004443	green acorn squash	green acorn squash (raw)				A whole green acorn squash which is raw.	https://en.wikipedia.org/wiki/Acorn_squash			2023-06-20T21:50:47Z	https://orcid.org/0000-0002-8844-9165											
FOODON:00004444	acorn squash	golden acorn squash				A whole acorn squash which has a golden or yellow skin.	https://en.wikipedia.org/wiki/Acorn_squash			2023-06-20T21:50:47Z	https://orcid.org/0000-0002-8844-9165											
FOODON:00004445	green acorn squash	golden acorn squash (raw)				A whole golden acorn squash which is raw.	https://en.wikipedia.org/wiki/Acorn_squash			2023-06-20T21:50:47Z	https://orcid.org/0000-0002-8844-9165											
